"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"GenericProduct","GenericProduct","","","",0,*,"","","","null {[]} {[]}
","Generic Product","A Product represents a physical item or set of items which can be held in inventory, ordered, exchanged, dispensed or other utilized within the health system, clinical and supply chain workflows.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"GenericProduct.identifier","GenericProduct.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Identifier for the product (e.g. SKUs, GTINs)","Identifier for the product (e.g. SKUs, GTINs)","","","","","","","","","",,,,,"",,,,"GenericProduct.identifier",0,*,"",""
"GenericProduct.status","GenericProduct.status","","","",1,1,"","","","code {[]} {[]}
","Product status","The status of the product in the catalog e.g. 'active' 'inactive'","","","","","","","","","",,"extensible","","http://smart.who.int/pcmt/ValueSet/Status","",,,,"GenericProduct.status",1,1,"",""
"GenericProduct.name","GenericProduct.name","","","",1,*,"","","","BackboneElement {[]} {[]}
","The name of the product","The name of the product","","","","","","","","","",,,,,"",,,,"GenericProduct.name",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"GenericProduct.name.id","GenericProduct.name.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"GenericProduct.name.extension","GenericProduct.name.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"GenericProduct.name.modifierExtension","GenericProduct.name.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"GenericProduct.name.nameType","GenericProduct.name.nameType","","","",1,1,"","","","code {[]} {[]}
","The type of name e.g. 'official' or 'user-friendly'","The type of name e.g. 'official' or 'user-friendly'","","","","","","","","","",,"extensible","","http://smart.who.int/pcmt/ValueSet/NameType","",,,,"GenericProduct.name.nameType",1,1,"",""
"GenericProduct.name.nameValue","GenericProduct.name.nameValue","","","",1,1,"","","","string {[]} {[]}
","The name of the product","The name of the product","","","","","","","","","",,,,,"",,,,"GenericProduct.name.nameValue",1,1,"",""
"GenericProduct.description","GenericProduct.description","","","",0,1,"","","","string {[]} {[]}
","The description of the product","The description of the product","","","","","","","","","",,,,,"",,,,"GenericProduct.description",0,1,"",""
